RELEASE_NAME	ARCHITECTURE_NAME	EXTERNAL_TAG
CMSSW_4_2_X_2011-03-11-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-03-12-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_3_X_2011-03-15-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-15-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-15-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-03-15-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_3_9_X_2011-03-17-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_4_3_X_2011-03-20-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-20-1400	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-20-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_3_X_2011-03-21-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-21-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-21-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-03-26-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-26-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-26-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-03-27-0300	slc5_ia32_gcc434	V00-11-04
CMSSW_4_1_3_patch3	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_1_X_2011-03-30-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-04-03-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-04-03-1400	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-04-03-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_1_X_2011-04-08-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_3_9_X_2011-04-09-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_4_3_X_2011-04-14-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-04-14-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-04-14-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-04-14-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-04-14-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-04-14-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-04-14-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_4_2_X_2011-04-15-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-04-15-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-04-15-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_1_X_2011-03-22-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-22-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-22-1400	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-22-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-03-22-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-22-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-22-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_3_0_pre1	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_0_pre1	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_0_pre1	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-03-26-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-26-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-26-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-03-28-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_3_0_pre2	osx106_amd64_gcc421	V00-16-05-01
